"bénéficiaire","département","montant versé en 2013 (€)","nature de la subvention","programme budgétaire","attributeur","département attributeur","année d'octroi  de la subvention","prénom","nom","sexe","url_sénat","url_nossénateurs","url_nossénateurs_api"
"SILLINGY",74,10000,"La modernisation de l'éclairage du terrain de football au stade René Gaillard",122,"CARLE Jean-Claude",74,2013,"Jean-Claude","Carle","H","http://www.senat.fr/senateur/carle_jean_claude95015c.html","http://nossenateurs.fr/jean-claude-carle","http://nossenateurs.fr/jean-claude-carle/json"
"SILLY-EN-SAULNOIS",57,1500,"L'acquisition de dalles et de pavés",122,"MASSON Jean-Louis",57,2012,"Jean Louis","Masson","H","http://www.senat.fr/senateur/masson_jean_louis01060r.html","http://nossenateurs.fr/jean-louis-masson","http://nossenateurs.fr/jean-louis-masson/json"
"SILLY-EN-SAULNOIS",57,4000,"Le pavage de la Rue Principale, le long de la RD 71",122,"MASSERET Jean-Pierre",57,2011,"Jean-Pierre","Masseret","H","http://www.senat.fr/senateur/masseret_jean_pierre83042r.html","http://nossenateurs.fr/jean-pierre-masseret","http://nossenateurs.fr/jean-pierre-masseret/json"
"SIMENCOURT",62,10000,"La mise en accessibilité de la salle communale et des sanitaires, l'installation d'un chauffage et l'aménagement d'un local poubelle",122,"HENNERON Françoise",62,2010,"Françoise","Henneron","F","http://www.senat.fr/senateur/henneron_francoise01033n.html","http://nossenateurs.fr/francoise-henneron","http://nossenateurs.fr/francoise-henneron/json"
"SION",32,171,"La mise en sécurité du clocher, des contreforts et du porche de l'église",122,"LARCHER Gérard",78,2009,"Gérard","Larcher","H","http://www.senat.fr/senateur/larcher_gerard86034e.html","http://nossenateurs.fr/gerard-larcher","http://nossenateurs.fr/gerard-larcher/json"
"SIORAC-EN-PERIGORD",24,850,"La réfection du quai situé au bord de la Dordogne, aux abords du pont",122,"RAOUL Daniel",49,2012,"Daniel","Raoul","H","http://www.senat.fr/senateur/raoul_daniel01016m.html","http://nossenateurs.fr/daniel-raoul","http://nossenateurs.fr/daniel-raoul/json"
"SIREIX",65,7883,"La réfection des façades de l'ancienne mairie",122,"FORTASSIN François",65,2011,"François","Fortassin","H","http://www.senat.fr/senateur/fortassin_francois01003g.html","http://nossenateurs.fr/francois-fortassin","http://nossenateurs.fr/francois-fortassin/json"
"SIRP CASTELNAU-VALENCE- SAINT DEZERY-SAINT-MAURICE DE CAZEVIEILLE",30,3500,"L'aménagement d'une structure de jeux pour l'école maternelle de Saint Maurice de Cazevieille et l'acquisition d'équipements de sports pour l'école primaire de Castelnau-Valence",122,"FOURNIER Jean-Paul",30,2012,"Jean-Paul","Fournier","H","http://www.senat.fr/senateur/fournier_jean_paul08065c.html","http://nossenateurs.fr/jean-paul-fournier","http://nossenateurs.fr/jean-paul-fournier/json"
"SIRP de Carly-Lacres-Tingry- Verlincthun",62,33250,"L'extension des locaux de l'école maternelle de Carly",122,"SERGENT Michel",62,2009,"Michel","Sergent","H","http://www.senat.fr/senateur/sergent_michel92043t.html","http://nossenateurs.fr/michel-sergent","http://nossenateurs.fr/michel-sergent/json"
"SIRS Ambleville - Hodent - Omerville 95 - Val-d'Oise","",4500,"L'équipement numérique des écoles de Hodent et d'Omerville",122,"SUEUR Jean-Pierre",45,2012,"Jean-Pierre","Sueur","H","http://www.senat.fr/senateur/sueur_jean_pierre01028r.html","http://nossenateurs.fr/jean-pierre-sueur","http://nossenateurs.fr/jean-pierre-sueur/json"
"SIRS de Mesnil-sur-Bulles, Catillon- Fumechon, Nourard-le-Franc, Le Plessier-sur-",60,1700,"La réhabilitation des huisseries de la cantine et de l'accueil périscolaire",122,"MARINI Philippe",60,2011,"Philippe","Marini","H","http://www.senat.fr/senateur/marini_philippe92035t.html","http://nossenateurs.fr/philippe-marini","http://nossenateurs.fr/philippe-marini/json"
"SISCO de Bouchavesnes Rancourt Sailly Saillisel",80,8413,"L'équipement des écoles en tableaux numériques et classe mobile",122,"ZOCCHETTO François",53,2012,"François","Zocchetto","H","http://www.senat.fr/senateur/zocchetto_francois01047u.html","http://nossenateurs.fr/francois-zocchetto","http://nossenateurs.fr/francois-zocchetto/json"
"SISCO des Noisettes Fourdrinoy- Oissy-Cavillon",80,5616,"L'acquisition de matériel informatique et numérique pour les classes de Fourdrinoy, Oissy et Saisseval",122,"DENEUX Marcel",80,2012,"Marcel","Deneux","H","http://www.senat.fr/senateur/deneux_marcel95025e.html","http://nossenateurs.fr/marcel-deneux","http://nossenateurs.fr/marcel-deneux/json"
"SIVE Camon - Saint-Quentin - Lagarde - Belloc - Troye-d'Ariège",9,12826,"L'extension et l'aménagement des écoles de Saint- Quentin et de Camon",122,"BEL Jean-Pierre",9,2011,"Jean-Pierre","Bel","H","http://www.senat.fr/senateur/bel_jean_pierre98006p.html","http://nossenateurs.fr/jean-pierre-bel","http://nossenateurs.fr/jean-pierre-bel/json"
"SIVIGNON",71,6000,"La réhabilitation d'un logement communal en logements sociaux de type T1",122,"COURTOIS Jean-Patrick",71,2012,"Jean-Patrick","Courtois","H","http://www.senat.fr/senateur/courtois_jean_patrick95020y.html","http://nossenateurs.fr/jean-patrick-courtois","http://nossenateurs.fr/jean-patrick-courtois/json"
"SIVOCS Echo Jeunesse",57,750,"L'acquisition de divers matériels pour les écoles",122,"MARC François",29,2012,"François","Marc","H","http://www.senat.fr/senateur/marc_francois98046x.html","http://nossenateurs.fr/francois-marc","http://nossenateurs.fr/francois-marc/json"
"SIVOCS Echo Jeunesse",57,1000,"L'acquisition de divers matériels pour les écoles de Biding, Maxstadt et Laning",122,"LEROY Philippe",57,2013,"Philippe","Leroy","H","http://www.senat.fr/senateur/leroy_philippe01061s.html","http://nossenateurs.fr/philippe-leroy","http://nossenateurs.fr/philippe-leroy/json"
"Sivom Adainville - Bourdonné - Condé-sur-Vesgre",78,27533,"La construction d'une école primaire intercommunale à Condé-sur-Vesgre",122,"LARCHER Gérard",78,2011,"Gérard","Larcher","H","http://www.senat.fr/senateur/larcher_gerard86034e.html","http://nossenateurs.fr/gerard-larcher","http://nossenateurs.fr/gerard-larcher/json"
"SIVOM de Bourganeuf-Royère",23,8000,"Le renforcement et la réfection de la voie communale n°5 de La Chaise située sur le territoire de la commune de Mansat-la-Courrière",122,"CARTRON Françoise",33,2012,"Françoise","Cartron","F","http://www.senat.fr/senateur/cartron_francoise08024s.html","http://nossenateurs.fr/francoise-cartron","http://nossenateurs.fr/francoise-cartron/json"
"Sivom de Grand",88,6835,"La réfection de la façade et le remplacement des menuiseries de l'agence postale",122,"PONCELET Christian",88,2012,"Christian","Poncelet","H","http://www.senat.fr/senateur/poncelet_christian77058m.html","http://nossenateurs.fr/christian-poncelet","http://nossenateurs.fr/christian-poncelet/json"
"Sivom de la Haute-Vallée de la Roya 06 - Alpes-Maritimes","",1005,"La réfection intérieure de la chapelle Notre-Dame de la Visitation à Vievola",122,"BALARELLO José",6,2008,"José","Balarello","H","http://www.senat.fr/senateur/balarello_jose84004p.html","http://nossenateurs.fr/jose-balarello","http://nossenateurs.fr/jose-balarello/json"
"SIVOM de la région d'Attigny",8,5616,"L'acquisition de panneaux lumineux indicateurs de vitesse",122,"LAMENIE Marc",8,2012,"Marc","Laménie","H","http://www.senat.fr/senateur/lamenie_marc07029t.html","http://nossenateurs.fr/marc-lamenie","http://nossenateurs.fr/marc-lamenie/json"
"SIVOM de la Vallée de la Livraie",85,1509,"La construction d'un EHPAD à Aubigny",122,"MERCERON Jean-Claude",85,2010,"Jean-Claude","Merceron","H","http://www.senat.fr/senateur/merceron_jean_claude04083m.html","http://nossenateurs.fr/jean-claude-merceron","http://nossenateurs.fr/jean-claude-merceron/json"
"SIVOM de Le Chesne",8,5174,"Le remplacement des rideaux occultants des salles de classe du pôle scolaire",122,"LAMENIE Marc",8,2012,"Marc","Laménie","H","http://www.senat.fr/senateur/lamenie_marc07029t.html","http://nossenateurs.fr/marc-lamenie","http://nossenateurs.fr/marc-lamenie/json"
"SIVOM de Miélan-Marciac",32,3000,"Le désamiantage et la réfection de la toiture de la salle polyvalente de Barcugnan",122,"VALL Raymond",32,2012,"Raymond","Vall","H","http://www.senat.fr/senateur/vall_raymond08049c.html","http://nossenateurs.fr/raymond-vall","http://nossenateurs.fr/raymond-vall/json"
"Sivom de Miélan-Marciac",32,10000,"La mise en sécurité et en accessibilité de la RD 261 en traverse de la commune de Beccas",122,"de MONTESQUIOU Aymeri",32,2011,"Aymeri de","Montesquiou","H","http://www.senat.fr/senateur/de_montesquiou_aymeri98032r.html","http://nossenateurs.fr/aymeri-de-montesquiou","http://nossenateurs.fr/aymeri-de-montesquiou/json"
"SIVOM de Miélan-Marciac",32,12559,"La mise en accessibilité et en sécurité des abords des bâtiments publics aux Aussat",122,"de MONTESQUIOU Aymeri",32,2010,"Aymeri de","Montesquiou","H","http://www.senat.fr/senateur/de_montesquiou_aymeri98032r.html","http://nossenateurs.fr/aymeri-de-montesquiou","http://nossenateurs.fr/aymeri-de-montesquiou/json"
"Sivom de Schweighouse-sur-moder et environs",67,7501,"La réalisation d'une étude préalable à l'aménagement de la traversée du village de Morschwiller",122,"RICHERT Philippe",67,2009,"Philippe","Richert","H","http://www.senat.fr/senateur/richert_philippe92005m.html","http://nossenateurs.fr/philippe-richert","http://nossenateurs.fr/philippe-richert/json"
"Sivom de Vinchy",59,6500,"L'aménagement, à Crèvecoeur-sur-L'Escaut, de la place du Général de Gaulle et des rues Saint- Martin, de l'Eglise, de Bel Aise et de Paradis",122,"LETARD Valérie",59,2011,"Valérie","Létard","F","http://www.senat.fr/senateur/letard_valerie01043q.html","http://nossenateurs.fr/valerie-letard","http://nossenateurs.fr/valerie-letard/json"
"Sivom des cantons de Bourganeuf- Royère",23,2523,"Le renforcement et la réfection de voies communales, à Saint-Martin-Sainte-Catherine,",122,"FOUCAUD Thierry",76,2011,"Thierry","Foucaud","H","http://www.senat.fr/senateur/foucaud_thierry98053w.html","http://nossenateurs.fr/thierry-foucaud","http://nossenateurs.fr/thierry-foucaud/json"
