"bénéficiaire","département","montant versé en 2013 (€)","nature de la subvention","programme budgétaire","attributeur","département attributeur","mandat attributeur","année d'octroi de la subvention","prénom","nom","sexe","groupe","url_institution","url_nosparlementaires","url_nosparlementaires_api"
"Association rétro-musée de Pompiers","",2500,"Fonctionnement",175,"AMELINE Nicole",14,"Député","","Nicole","Ameline","F","UMP","http://www.assemblee-nationale.fr/14/tribun/fiches_id/259.asp","http://www.nosdeputes.fr/nicole-ameline","http://www.nosdeputes.fr/nicole-ameline/xml"
"Association REVES Délégation du Calvados","",1500,"NC",204,"DUMONT Laurence",14,"Député","","Laurence","Dumont","F","SRC","http://www.assemblee-nationale.fr/14/tribun/fiches_id/1198.asp","http://www.nosdeputes.fr/laurence-dumont","http://www.nosdeputes.fr/laurence-dumont/xml"
"Association Rimbaud","",3000,"Fonctionnement",224,"MUET Pierre-Alain",69,"Député","","Pierre-Alain","Muet","H","SRC","http://www.assemblee-nationale.fr/14/tribun/fiches_id/334755.asp","http://www.nosdeputes.fr/pierre-alain-muet","http://www.nosdeputes.fr/pierre-alain-muet/xml"
"Association Romarin de l'Yonne","",1000,"Fonctionnement",163,"FORT Marie-Louise",89,"Député","","Marie-Louise","Fort","F","UMP","http://www.assemblee-nationale.fr/14/tribun/fiches_id/336576.asp","http://www.nosdeputes.fr/marie-louise-fort","http://www.nosdeputes.fr/marie-louise-fort/xml"
"Association Rosoy Blues","",1000,"Fonctionnement",224,"FORT Marie-Louise",89,"Député","","Marie-Louise","Fort","F","UMP","http://www.assemblee-nationale.fr/14/tribun/fiches_id/336576.asp","http://www.nosdeputes.fr/marie-louise-fort","http://www.nosdeputes.fr/marie-louise-fort/xml"
"Association RSI La Ressource","",40000,"Projet quotidien et Lien Hors les murs",163,"LEPETIT Annick",75,"Député","","Annick","Lepetit","F","SRC","http://www.assemblee-nationale.fr/14/tribun/fiches_id/267965.asp","http://www.nosdeputes.fr/annick-lepetit","http://www.nosdeputes.fr/annick-lepetit/xml"
"Association Rugby Club Eyrieux","",3000,"NC",219,"TERRASSE Pascal",7,"Député","","Pascal","Terrasse","H","SRC","http://www.assemblee-nationale.fr/14/tribun/fiches_id/2799.asp","http://www.nosdeputes.fr/pascal-terrasse","http://www.nosdeputes.fr/pascal-terrasse/xml"
"Association rurale de jeunes animateurs (ARJA)","",1000,"Fonctionnement",163,"WARSMANN Jean-Luc",8,"Député","","Jean-Luc","Warsmann","H","UMP","http://www.assemblee-nationale.fr/14/tribun/fiches_id/2952.asp","http://www.nosdeputes.fr/jean-luc-warsmann","http://www.nosdeputes.fr/jean-luc-warsmann/xml"
"Association Saint Chrysole","",1000,"Fonctionnement",175,"DAUBRESSE Marc-Philippe",59,"Député","","Marc-Philippe","Daubresse","H","UMP","http://www.assemblee-nationale.fr/14/tribun/fiches_id/1001.asp","http://www.nosdeputes.fr/marc-philippe-daubresse","http://www.nosdeputes.fr/marc-philippe-daubresse/xml"
"Association Saint Laurent animation","",7000,"Achat de matériels",224,"GORGES Jean-Pierre",28,"Député","","Jean-Pierre","Gorges","H","UMP","http://www.assemblee-nationale.fr/14/tribun/fiches_id/267151.asp","http://www.nosdeputes.fr/jean-pierre-gorges","http://www.nosdeputes.fr/jean-pierre-gorges/xml"
"Association Sainte-Geneviève Sports","",10000,"NC",219,"BOUTIH Malek",91,"Député","","Malek","Boutih","H","SRC","http://www.assemblee-nationale.fr/14/tribun/fiches_id/610045.asp","http://www.nosdeputes.fr/malek-boutih","http://www.nosdeputes.fr/malek-boutih/xml"
"Association Sainte-Geneviève Sports","",10000,"NC",219,"BOUTIH Malek",91,"Député","","Malek","Boutih","H","SRC","http://www.assemblee-nationale.fr/14/tribun/fiches_id/610045.asp","http://www.nosdeputes.fr/malek-boutih","http://www.nosdeputes.fr/malek-boutih/xml"
"Association Sainte-Geneviève Triathlon","",10000,"Interventions dans les quartiers visant à l'insertion des jeunes",163,"BOUTIH Malek",91,"Député","","Malek","Boutih","H","SRC","http://www.assemblee-nationale.fr/14/tribun/fiches_id/610045.asp","http://www.nosdeputes.fr/malek-boutih","http://www.nosdeputes.fr/malek-boutih/xml"
"Association Saintélectro","",5000,"Organisation du festival ""Danse, Musique Festival"" à Saint-Etienne du 7 au 10 juin 2013",224,"JUANICO Régis",42,"Député","","Régis","Juanico","H","SRC","http://www.assemblee-nationale.fr/14/tribun/fiches_id/332614.asp","http://www.nosdeputes.fr/regis-juanico","http://www.nosdeputes.fr/regis-juanico/xml"
"Association Saint-Eloi","",20000,"Actions dans les noyaux villageois, maintien des traditions provençales",224,"ANDRIEUX Sylvie",13,"Député","","Sylvie","Andrieux","F","NI","http://www.assemblee-nationale.fr/14/tribun/fiches_id/271.asp","http://www.nosdeputes.fr/sylvie-andrieux","http://www.nosdeputes.fr/sylvie-andrieux/xml"
"Association SAN ELISEU","",55000,"Travaux de rénovation intérieure et extérieure de l'église de Santo Pietro di Venaco.",175,"GIACOBBI Paul","2B","Député","","Paul","Giacobbi","H","RRDP","http://www.assemblee-nationale.fr/14/tribun/fiches_id/267407.asp","http://www.nosdeputes.fr/paul-giacobbi","http://www.nosdeputes.fr/paul-giacobbi/xml"
"Association Scolaire d'Andres","",1800,"Projet Jeune Citoyen",230,"BOURGUIGNON Brigitte",62,"Député","","Brigitte","Bourguignon","F","SRC","http://www.assemblee-nationale.fr/14/tribun/fiches_id/608083.asp","http://www.nosdeputes.fr/brigitte-bourguignon","http://www.nosdeputes.fr/brigitte-bourguignon/xml"
