Parlementaire attributaire,Groupe politique,Chambre,Somme des subventions versées en 2013
Jean-Paul Chanteguet,SRC,Assemblée nationale,153947
Jean-Paul Amoudry,UDI,Sénat,152562
François de Rugy,ECOLO,Assemblée nationale,152500
Philippe Leroy,UMP,Sénat,152296
Philippe Paul,UMP,Sénat,152104
Pierre Morel-A-L'Huissier,UMP,Assemblée nationale,151967
Sonia Lagarde,UDI,Assemblée nationale,151014
Yann Gaillard,UMP,Sénat,150476
Chantal Brunel,UMP,Assemblée nationale,150110
Catherine Morin-Desailly,UDI,Sénat,149934
Jean-Pierre Raffarin,UMP,Sénat,149507
Jacques Gautier,UMP,Sénat,148445
Yves Nicolin,UMP,Assemblée nationale,148386
Jean-Marc Nesme,UMP,Assemblée nationale,148242
Guénhaël Huet,UMP,Assemblée nationale,148210
Philippe Doucet,SRC,Assemblée nationale,147500
Alain Vasselle,UMP,Sénat,147437
Monique Papon,UMP,Sénat,146790
Jean-Marc Pastor,SOC,Sénat,145862
Catherine Troendle,UMP,Sénat,145292
Chantal Jouanno,UDI,Sénat,145000
Jérôme Bignon,UMP,Assemblée nationale,144173
Jean-Pierre Balligand,SRC,Assemblée nationale,144145
Pierre Morange,UMP,Assemblée nationale,144000
François Hollande,SRC,Assemblée nationale,143669
Stéphane Demilly,UDI,Assemblée nationale,143499
Pierre André,UMP,Sénat,142712
Philippe Armand Martin,UMP,Assemblée nationale,142604
Pierre-Alain Muet,SRC,Assemblée nationale,142365
Alain Houpert,UMP,Sénat,141006
Richard Yung,SOC,Sénat,140000
Jean-Yves Leconte,SOC,Sénat,140000
Christophe-André Frassa,UMP,Sénat,140000
Claudine Lepage,SOC,Sénat,139994
Laurence Dumont,SRC,Assemblée nationale,139719
André Trillard,UMP,Sénat,139633
Bérengère Poletti,UMP,Assemblée nationale,139246
Dominique Caillaud,UMP,Assemblée nationale,139194
Bernard Angels,SOCV,Sénat,138810
Yves Jégo,UDI,Assemblée nationale,138657
Pierre Bernard-Reymond,NI,Sénat,138280
Jean-Pierre Demerliat,SOC,Sénat,137957
Patrick Balkany,UMP,Assemblée nationale,136482
Thierry Carcenac,SRC,Assemblée nationale,134722
Michel Sordi,UMP,Assemblée nationale,133460
Jean-Paul Emorine,UMP,Sénat,133313
Jean Grenet,UMP,Assemblée nationale,133188
Didier Quentin,UMP,Assemblée nationale,131045
Luce Pane,SRC,Assemblée nationale,131000
Franck Marlin,UMP,Assemblée nationale,130863
Damien Meslot,UMP,Assemblée nationale,130700
Xavier Pintat,UMP,Sénat,130197
Yves Blein,SRC,Assemblée nationale,130000
Vincent Feltesse,SRC,Assemblée nationale,130000
Sylvie Andrieux,NI,Assemblée nationale,130000
René Rouquet,SRC,Assemblée nationale,130000
Pouria Amirshahi,SRC,Assemblée nationale,130000
Pierre Charon,UMP,Sénat,130000
Philip Cordery,SRC,Assemblée nationale,130000
Pascal Cherki,SRC,Assemblée nationale,130000
Martine Martinel,SRC,Assemblée nationale,130000
Louis Duvernois,UMP,Sénat,130000
Joëlle Garriaud-Maylam,UMP,Sénat,130000
Jean-Louis Gagnaire,SRC,Assemblée nationale,130000
Jean-Jacques Jégou,UC,Sénat,130000
Jean-Christophe Cambadélis,SRC,Assemblée nationale,130000
Jean Jacques Vlody,SRC,Assemblée nationale,130000
Hervé Pellois,SRC,Assemblée nationale,130000
Fanélie Carrey-Conte,SRC,Assemblée nationale,130000
Corinne Narassiguin,SRC,Assemblée nationale,130000
Christophe Caresche,SRC,Assemblée nationale,130000
Armand Jung,SRC,Assemblée nationale,130000
Alain Rousset,SRC,Assemblée nationale,130000
Daphna Poznanski-Benhamou,SRC,Assemblée nationale,129870
Nicole Ameline,UMP,Assemblée nationale,129752
Didier Julia,UMP,Assemblée nationale,129538
Marc Massion,SOC,Sénat,129028
Françoise Branget,UMP,Assemblée nationale,128759
Alain Bertrand,RDSE,Sénat,128307
Jean-François Mayet,UMP,Sénat,128002
André Ferrand,UMP,Sénat,128000
Raymond Couderc,UMP,Sénat,127967
François Cornut-Gentille,UMP,Assemblée nationale,126754
Michel Houel,UMP,Sénat,126706
Michelle Demessine,CRC,Sénat,126569
Jonas Tahuaitu,UDI,Assemblée nationale,126027
Philippe Dominati,UMP,Sénat,126000
Avi Assouly,SRC,Assemblée nationale,126000
Philippe Gomes,UDI,Assemblée nationale,125700
Gérard Cornu,UMP,Sénat,125690
Jean-Michel Baylet,RDSE,Sénat,125544
Nicole Borvo Cohen-Seat,CRC,Sénat,125314
François-Michel Gonnot,UMP,Assemblée nationale,125147
Robert del Picchia,UMP,Sénat,125000
Benoît Huré,UMP,Sénat,124992
Martial Saddier,UMP,Assemblée nationale,124968
Patrice Gélard,UMP,Sénat,124503
Alain Bocquet,GDR,Assemblée nationale,124485
Robert Lecou,UMP,Assemblée nationale,124245
Henri Jibrayel,SRC,Assemblée nationale,124000
Christian Favier,CRC,Sénat,123821
Michel Raison,UMP,Assemblée nationale,122738
Jean-Pierre Decool,UMP,Assemblée nationale,122707
Michel Moreigne,SOCV,Sénat,122659
Pierre-Yves Le Borgn',SRC,Assemblée nationale,122610
Jean Desessard,ECO,Sénat,122000
Jean-Pierre Gorges,UMP,Assemblée nationale,121832
Jean-Pierre Plancade,RDSE,Sénat,121589
André Wojciechowski,UMP,Assemblée nationale,121132
Éric Straumann,UMP,Assemblée nationale,121033
Ambroise Dupont,UMP,Sénat,120550
Paul Durieu,UMP,Assemblée nationale,120093
Sergio Coronado,ECOLO,Assemblée nationale,120000
Leila Aïchi,ECO,Sénat,120000
Aline Archimbaud,ECO,Sénat,120000
Jean-Claude Flory,UMP,Assemblée nationale,119679
Alain Chatillon,UMP,Sénat,119598
François Sauvadet,UDI,Assemblée nationale,119161
Jean-René Lecerf,UMP,Sénat,118667
