"bénéficiaire","département","montant versé en 2013 (€)","nature de la subvention","programme budgétaire","attributeur","département attributeur","mandat attributeur","année d'octroi de la subvention","prénom","nom","sexe","groupe","url_institution","url_nosparlementaires","url_nosparlementaires_api"
"Alliance française","",7000,"Achats matériels informatiques",185,"DEL PICCHIA Robert",999,"Sénateur","","Robert","del Picchia","H","UMP","http://www.senat.fr/senateur/del_picchia_robert98018t.html","http://www.nossenateurs.fr/robert-del-picchia","http://www.nossenateurs.fr/robert-del-picchia/xml"
"Alliance française","",7000,"Projet d'extension",185,"LECONTE Jean-Yves",999,"Sénateur","","Jean-Yves","Leconte","H","SOC","http://www.senat.fr/senateur/leconte_jean_yves11026g.html","http://www.nossenateurs.fr/jean-yves-leconte","http://www.nossenateurs.fr/jean-yves-leconte/xml"
"Alliance française","",7000,"Réfection d'un toit",185,"LEPAGE Claudine",999,"Sénateur","","Claudine","Lepage","F","SOC","http://www.senat.fr/senateur/lepage_claudine08017t.html","http://www.nossenateurs.fr/claudine-lepage","http://www.nossenateurs.fr/claudine-lepage/xml"
"Alliance française","",15000,"Tableaux interactifs",185,"LEPAGE Claudine",999,"Sénateur","","Claudine","Lepage","F","SOC","http://www.senat.fr/senateur/lepage_claudine08017t.html","http://www.nossenateurs.fr/claudine-lepage","http://www.nossenateurs.fr/claudine-lepage/xml"
"Alliance française","",15000,"Tableaux interactifs",185,"LEPAGE Claudine",999,"Sénateur","","Claudine","Lepage","F","SOC","http://www.senat.fr/senateur/lepage_claudine08017t.html","http://www.nossenateurs.fr/claudine-lepage","http://www.nossenateurs.fr/claudine-lepage/xml"
"Alliance française","",19000,"Achat de serveurs informatiques",185,"FRASSA Christophe",999,"Sénateur","","Christophe-André","Frassa","H","UMP","http://www.senat.fr/senateur/frassa_christophe_andre08018u.html","http://www.nossenateurs.fr/christophe-andre-frassa","http://www.nossenateurs.fr/christophe-andre-frassa/xml"
"Alliance française","",40000,"Appui aux activités",209,"Dotation institutionnelle",75,"Sénat","","","","","","","",""
"Alliance française","",5000,"Création médiathèque",185,"DUVERNOIS Louis",999,"Sénateur","","Louis","Duvernois","H","UMP","http://www.senat.fr/senateur/duvernois_louis01041n.html","http://www.nossenateurs.fr/louis-duvernois","http://www.nossenateurs.fr/louis-duvernois/xml"
"Alliance française d'Adélaïde","",10000,"Modernisation espace médiathèque",185,"FERRAND André",999,"Sénateur","","André","Ferrand","H","UMP","http://www.senat.fr/senateur/ferrand_andre98019u.html","http://www.nossenateurs.fr/andre-ferrand","http://www.nossenateurs.fr/andre-ferrand/xml"
"Alliance française de Bangui","",7000,"Intégrer l'utilisation des nouvelles technologies dans l'enseignement",185,"ANGO ELA Kalliopi",999,"Sénateur","","Kalliopi","Ango Ela","F","ECO","http://www.senat.fr/senateur/ango_ela_kalliopi12040w.html","http://www.nossenateurs.fr/kalliopi-ango-ela","http://www.nossenateurs.fr/kalliopi-ango-ela/xml"
"Alliance française de Djeddah","",40000,"Appui aux activités",185,"KAMMERMANN Christiane",999,"Sénateur","","Christiane","Kammermann","F","UMP","http://www.senat.fr/senateur/kammermann_christiane04036e.html","http://www.nossenateurs.fr/christiane-kammermann","http://www.nossenateurs.fr/christiane-kammermann/xml"
"Alliance française de San Francisco","",25000,"Achat d'un système de gestion électronique de bibliothèque",185,"COINTAT Christian",999,"Sénateur","","Christian","Cointat","H","UMP","http://www.senat.fr/senateur/cointat_christian01063u.html","http://www.nossenateurs.fr/christian-cointat","http://www.nossenateurs.fr/christian-cointat/xml"
"Alliance française de Santiago de Cuba","",7000,"Rénovation bâtiments",185,"PIRAS Bernard",26,"Sénateur","","Bernard","Piras","H","SOC","http://www.senat.fr/senateur/piras_bernard96006f.html","http://www.nossenateurs.fr/bernard-piras","http://www.nossenateurs.fr/bernard-piras/xml"
"Alliance française de Santiago de Cuba","",8000,"Réparation après passage ouragan",185,"FERRAND André",999,"Sénateur","","André","Ferrand","H","UMP","http://www.senat.fr/senateur/ferrand_andre98019u.html","http://www.nossenateurs.fr/andre-ferrand","http://www.nossenateurs.fr/andre-ferrand/xml"
"Alliance française de Tananarive","",5000,"Extension et aménagement des locaux",185,"FERRAND André",999,"Sénateur","","André","Ferrand","H","UMP","http://www.senat.fr/senateur/ferrand_andre98019u.html","http://www.nossenateurs.fr/andre-ferrand","http://www.nossenateurs.fr/andre-ferrand/xml"
"Alliance française d'Osorno","",6000,"Appui aux activités",185,"GARRIAUD-MAYLAM Joëlle",999,"Sénateur","","Joëlle","Garriaud-Maylam","F","UMP","http://www.senat.fr/senateur/garriaud_maylam_joelle04035d.html","http://www.nossenateurs.fr/joelle-garriaud-maylam","http://www.nossenateurs.fr/joelle-garriaud-maylam/xml"
"Alliance française Pondichéry","",10000,"Rénovation auditorium",185,"ANGO ELA Kalliopi",999,"Sénateur","","Kalliopi","Ango Ela","F","ECO","http://www.senat.fr/senateur/ango_ela_kalliopi12040w.html","http://www.nossenateurs.fr/kalliopi-ango-ela","http://www.nossenateurs.fr/kalliopi-ango-ela/xml"
"Allo Animation","",2000,"Subvention fonctionnement",131,"JOUANNO Chantal",75,"Sénateur","","Chantal","Jouanno","F","UDI","http://www.senat.fr/senateur/jouanno_chantal09001p.html","http://www.nossenateurs.fr/chantal-jouanno","http://www.nossenateurs.fr/chantal-jouanno/xml"
"Al'Opéra","",2500,"Subvention fonctionnement",224,"BILLOUT Michel",77,"Sénateur","","Michel","Billout","H","CRC","http://www.senat.fr/senateur/billout_michel04054g.html","http://www.nossenateurs.fr/michel-billout","http://www.nossenateurs.fr/michel-billout/xml"
"Ambassade de France en Islande","",15000,"Réalisation d'un dictionnaire isalandais-Français b directionnel en ligne.",129,"Dotation institutionnelle",75,"Sénat","","","","","","","",""
"Amicale anciens 15 et 16 eme Marseille","",1000,"NC",157,"GHALI Samia",13,"Sénateur","","Samia","Ghali","F","SOC","http://www.senat.fr/senateur/ghali_samia08035v.html","http://www.nossenateurs.fr/samia-ghali","http://www.nossenateurs.fr/samia-ghali/xml"
