"bénéficiaire","département","montant versé en 2013 (€)","nature de la subvention","programme budgétaire","attributeur","département attributeur","mandat attributeur","année d'octroi de la subvention","prénom","nom","sexe","groupe","url_institution","url_nosparlementaires","url_nosparlementaires_api"
"MAROLLES-LES-SAINT-CALAIS 72 - Sarthe","",13347,"L'extension et la réhabilitation de la salle polyvalente",122,"PAVY-MORANCAIS Béatrice",72,"Député",2011,"Béatrice","Pavy","F","UMP","http://www.assemblee-nationale.fr/13/tribun/fiches_id/267314.asp","http://2007-2012.nosdeputes.fr/beatrice-pavy","http://2007-2012.nosdeputes.fr/beatrice-pavy/xml"
"MAROLLES-SOUS-LIGNIERES",10,6615,"La restauration de l'église Saint-Germain (2ème tranche)",122,"MATHIS Jean-Claude",10,"Député",2011,"Jean-Claude","Mathis","H","UMP","http://www.assemblee-nationale.fr/14/tribun/fiches_id/2124.asp","http://www.nosdeputes.fr/jean-claude-mathis","http://www.nosdeputes.fr/jean-claude-mathis/xml"
"MARPENT",59,5800,"La réhabilitation du moulin",122,"MARIN Christine",59,"Député",2012,"Christine","Marin","F","UMP","http://www.assemblee-nationale.fr/13/tribun/fiches_id/333972.asp","http://2007-2012.nosdeputes.fr/christine-marin","http://2007-2012.nosdeputes.fr/christine-marin/xml"
"MARQUISE",62,1133,"La restauration de l'orgue de l'église Saint-Martin",122,"LANG Jack",62,"Député",2010,"Jack","Lang","H","SRC","http://www.assembleenationale.fr/13/tribun/fiches_id/1821.asp","http://2007-2012.nosdeputes.fr/jack-lang","http://2007-2012.nosdeputes.fr/jack-lang/xml"
"MARRAY",37,747,"La mise aux normes de l'école",122,"BRIAND Philippe",37,"Député",2013,"Philippe","Briand","H","UMP","http://www.assemblee-nationale.fr/14/tribun/fiches_id/667.asp","http://www.nosdeputes.fr/philippe-briand","http://www.nosdeputes.fr/philippe-briand/xml"
"MARSAC-SUR-DON",44,13548,"La construction d'une école primaire",122,"DANIEL Yves",44,"Député",2013,"Yves","Daniel","H","SRC","http://www.assemblee-nationale.fr/14/tribun/fiches_id/607155.asp","http://www.nosdeputes.fr/yves-daniel","http://www.nosdeputes.fr/yves-daniel/xml"
"MARSAZ",26,2500,"La réfection du mur de soutènement de l'église",122,"THORAVAL Marie-Hélène",26,"Député",2012,"Marie-Hélène","Thoraval","F","UMP","http://www.assemblee-nationale.fr/13/tribun/fiches_id/341466.asp","http://2007-2012.nosdeputes.fr/marie-helene-thoraval","http://2007-2012.nosdeputes.fr/marie-helene-thoraval/xml"
"MARSEILLAN",34,6155,"L'aménagement du quai d'honneur de Marseillan- Plage",122,"D'ETTORE Gilles",34,"Député",2009,"Gilles d'","Gilles d'Ettore","H","UMP","http://www.assembleenationale.fr/13/tribun/fiches_id/332154.asp","http://2007-2012.nosdeputes.fr/gilles-d-ettore","http://2007-2012.nosdeputes.fr/gilles-d-ettore/xml"
"MARSEILLE",13,10877,"La construction de la maison des associations de la Treille",122,"BOYER Valérie",13,"Député",2008,"Valérie","Boyer","F","UMP","http://www.assemblee-nationale.fr/14/tribun/fiches_id/330684.asp","http://www.nosdeputes.fr/valerie-boyer","http://www.nosdeputes.fr/valerie-boyer/xml"
"MARSEILLE",13,17009,"La rénovation du centre d'animation Sainte-Anne",122,"TIAN Dominique",13,"Député",2010,"Dominique","Tian","H","UMP","http://www.assemblee-nationale.fr/14/tribun/fiches_id/2815.asp","http://www.nosdeputes.fr/dominique-tian","http://www.nosdeputes.fr/dominique-tian/xml"
"MARSEILLE",13,25600,"La réhabilitation de l'ancienne école des Pinsons",122,"BLUM Roland",13,"Député",2011,"Roland","Blum","H","UMP","http://www.assembleenationale.fr/13/tribun/fiches_id/546.asp","http://2007-2012.nosdeputes.fr/roland-blum","http://2007-2012.nosdeputes.fr/roland-blum/xml"
"MARSEILLE",13,26093,"La restauration du Ferry-Boat César",122,"ROATTA Jean",13,"Député",2008,"Jean","Roatta","H","UMP","http://www.assembleenationale.fr/13/tribun/fiches_id/2580.asp","http://2007-2012.nosdeputes.fr/jean-roatta","http://2007-2012.nosdeputes.fr/jean-roatta/xml"
"MARSEILLE",13,26819,"Le réaménagement partiel du jardin de la Pauline",122,"TEISSIER Guy",13,"Député",2011,"Guy","Teissier","H","UMP","http://www.assemblee-nationale.fr/14/tribun/fiches_id/2796.asp","http://www.nosdeputes.fr/guy-teissier","http://www.nosdeputes.fr/guy-teissier/xml"
"MARSEILLE",13,31589,"L'aménagement du bureau municipal de proximité de Saint-Barnabé et la construction de locaux associatifs",122,"BLUM Roland",13,"Député",2009,"Roland","Blum","H","UMP","http://www.assembleenationale.fr/13/tribun/fiches_id/546.asp","http://2007-2012.nosdeputes.fr/roland-blum","http://2007-2012.nosdeputes.fr/roland-blum/xml"
"MARSEILLE",13,42903,"La restauration du jardin de La Capelette",122,"TEISSIER Guy",13,"Député",2006,"Guy","Teissier","H","UMP","http://www.assemblee-nationale.fr/14/tribun/fiches_id/2796.asp","http://www.nosdeputes.fr/guy-teissier","http://www.nosdeputes.fr/guy-teissier/xml"
